LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G44446,AT1G29395,AT2G18290,AT1G10940,AT1G24580,AT1G23820
AT1G44800,AT1G29410,AT2G18735,AT1G10950,AT1G24735,AT1G24320
AT1G45207,AT1G29810,AT2G19400,AT1G10960,AT1G25260,AT1G24340
AT1G46264,AT1G29860,AT2G20050,AT1G10970,AT1G25320,AT1G24625
AT1G47210,AT1G29890,AT2G20170,AT1G11175,AT1G25500,AT1G24764
AT1G47240,AT1G29900,AT2G20635,AT1G11180,AT1G26130,AT1G24881
AT1G47530,AT1G29910,AT2G20850,AT1G11240,AT1G26230,AT1G25054
AT1G47640,AT1G29920,AT2G21130,AT1G11270,AT1G26330,AT1G25260
AT1G47710,AT1G29930,AT2G21240,AT1G11290,AT1G26460,AT1G25320
AT1G48210,AT1G30200,AT2G21320,AT1G11310,AT1G26550,AT1G25360
AT1G48350,AT1G30210,AT2G21380,AT1G11350,AT1G26560,AT1G25390
AT1G48950,AT1G30230,AT2G21400,AT1G11400,AT1G26570,AT1G25500
AT1G48960,AT1G30270,AT2G21660,AT1G11450,AT1G26620,AT1G26450
AT1G49050,AT1G30290,AT2G22190,AT1G11530,AT1G26665,AT1G26665
AT1G49200,AT1G30320,AT2G22430,AT1G11580,AT1G26670,AT1G26670
AT1G49230,AT1G30330,AT2G22850,AT1G11592,AT1G26730,AT1G26690
AT1G49350,AT1G30380,AT2G23200,AT1G11650,AT1G27200,AT1G26800
AT1G49670,AT1G30400,AT2G23380,AT1G11660,AT1G27450,AT1G26820
AT1G49730,AT1G30440,AT2G23700,AT1G11680,AT1G27520,AT1G27120
AT1G50120,AT1G30460,AT2G24230,AT1G11720,AT1G27680,AT1G27200
AT1G50320,AT1G30480,At2g24760,AT1G11750,AT1G27760,AT1G27250
AT1G50440,AT1G30640,AT2G25520,AT1G11770,AT1G27930,AT1G27330
AT1G50570,AT1G30690,AT2G25660,AT1G11780,AT1G28040,AT1G27450
AT1G51110,AT1G30755,AT2G25800,AT1G11840,AT1G28130,AT1G27520
AT1G51340,AT1G31160,AT2G25870,AT1G11890,AT1G28330,AT1G27630
AT1G51390,AT1G31230,AT2G26170,AT1G11910,AT1G28580,AT1G27680
AT1G51440,AT1G31290,AT2G26300,AT1G11930,AT1G28960,AT1G27752
AT1G51560,AT1G31300,AT2G26690,AT1G12050,AT1G29070,AT1G27760
AT1G51610,AT1G31330,AT2G26700,AT1G12120,AT1G29180,AT1G27770
AT1G52150,AT1G31340,AT2G26900,AT1G12130,AT1G29240,AT1G27910
AT1G52190,AT1G31350,AT2G27150,AT1G12210,AT1G29370,AT1G27970
AT1G52230,AT1G31490,AT2G27310,AT1G12230,AT1G29390,AT1G28050
AT1G53000,AT1G31540,AT2G27360,AT1G12240,AT1G29570,AT1G28180
AT1G53040,AT1G31630,AT2G27740,AT1G12360,AT1G29680,AT1G28260
AT1G53170,AT1G31740,AT2G28100,AT1G12370,AT1G29800,AT1G28330
AT1G53190,AT1G31800,AT2G28110,AT1G12410,AT1G29880,AT1G28340
AT1G53210,AT1G31820,AT2G28200,AT1G12450,AT1G29900,AT1G28430
AT1G53230,AT1G32090,AT2G28260,AT1G12480,AT1G29910,AT1G28510
AT1G53280,AT1G32160,AT2G28315,AT1G12500,AT1G29930,AT1G29160
